Name,Position,Nat,Height,Age,Tck W,Tck R,Tck A,Shot/90,ShT/90,ShT,Shots,Svt,Svp,Svh,Ps C/90,Ps C,Ps A/90,Pas A,Off,Gl Mst,K Tck,K Ps/90,K Pas,K Hdrs,Int/90,Itc,Hdr %,Hdrs W/90,Hdrs,Drb,Dist/90,Distance,Cr C,Cr C/A,Cr A,CCC,Ch C/90,Asts/90,Aer A/90,Apps,Gls,Ast,xG,PoM,Pas %,Tck,DrbPG,Shot %,Yel,Red,Av Rat,Hdrs A,Mins,Club,Preferred Foot
Rafa Mir,"AM (RL), ST (C)",ESP,"186,00","28,00","5,00","0,42","0,00","3,35","1,67","24,00","48,00","0,00","0,00","0,00","20,84","299,00","29,84","428,00","16,00","0,00","2,00","1,67","24,00","5,00","0,91","13,00","0,59","3,35","48,00","10,00","44 569,00",116.1,"6,00","0,21","28,00","3,00","0,21","0,28","5,72",15 (2),"8,00","4,00","6,27","4,00","0,70","0,35","0,70","0,50","2,00","0,00","7,35","82,00","1 291,00",Málaga,Right
Borja Garcés,ST (C),ESP,"183,00","26,00","5,00","0,83","0,00","3,69","1,86","50,00","99,00","0,00","0,00","0,00","14,99","402,00","17,75","476,00","27,00","0,00","0,00","1,31","35,00","29,00","0,56","15,00","0,35","2,69","72,00","18,00",12.0,322.7,"2,00","0,10","20,00","2,00","0,07","0,22","7,61",28 (2),"13,00","6,00","12,10","5,00","0,84","0,19","0,67","0,51","1,00","0,00","7,00","204,00","2 413,00",Espanyol,Right
Sergio Camello,ST (C),ESP,"177,00","25,00","0,00","0,00","0,00","3,26","1,51","12,00","26,00","0,00","0,00","0,00","17,45","139,00","20,84","166,00","2,00","0,00","0,00","1,00","8,00","0,00","1,26","10,00","0,03","0,13","1,00","4,00","44 574,00",104.0,"0,00","0,00","5,00","0,00","0,00","0,50","4,52",7 (7),"8,00","4,00","6,49","0,00","0,84","0,00","0,50","0,46","0,00","0,00","7,04","36,00","717,00",Espanyol,Right
Keylor Navas,GK,CRC,"185,00","39,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","2,00","11,00","11,00","21,00","21,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44 566,00","44 566,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,52","0,00","0,00","0,00","0,00","0,00","6,40","0,00","90,00",Vigo,Right
Rubén Blanco,GK,ESP,"188,00","30,00","3,00","0,60","0,00","0,00","0,00","0,00","0,00","45,00","45,00","123,00","10,32","382,00","22,73","841,00","0,00","0,00","0,00","0,11","4,00","0,00","0,08","3,00","0,00","0,00","0,00","0,00","44 686,00",202.4,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","37,00","0,00","1,00","0,00","4,00","0,45","0,08","0,00","0,00","0,00","0,00","6,92","0,00","3 330,00",Vigo,Right
Cameron Carter0Vickers,D (RC),USA,"185,00","28,00","17,00","0,89","0,00","0,43","0,00","0,00","4,00","0,00","0,00","0,00","16,34","152,00","18,82","175,00","0,00","0,00","6,00","0,11","1,00","24,00","0,65","6,00","0,74","2,69","25,00","0,00","44 690,00",88.8,"0,00","0,00","2,00","0,00","0,00","0,00","3,66",9 (3),"0,00","0,00","0,35","0,00","0,87","1,83","0,00","0,00","1,00","0,00","6,69","34,00","837,00",Vigo,Right
Mujaid Sadick,D (RC),ESP,"180,00","26,00","42,00","0,76","0,00","0,18","0,06","2,00","6,00","0,00","0,00","0,00","18,84","637,00","21,68","733,00","1,00","0,00","15,00","0,06","2,00","82,00","0,80","27,00","0,60","2,19","74,00","0,00","44 721,00",323.6,"0,00","0,00","0,00","0,00","0,00","0,00","3,67","34,00","1,00","0,00","0,85","2,00","0,87","1,24","0,00","0,33","4,00","1,00","6,62","124,00","3 043,00",Vigo,Right Only
Gonçalo Inácio,D (C),POR,"188,00","24,00","27,00","0,79","0,00","0,37","0,06","2,00","12,00","0,00","0,00","0,00","21,29","697,00","23,06","755,00","0,00","0,00","11,00","0,03","1,00","127,00","0,73","24,00","0,76","3,42","112,00","0,00","44 751,00",316.0,"0,00","0,00","1,00","1,00","0,03","0,03","4,49","33,00","0,00","1,00","1,33","1,00","0,92","0,82","0,00","0,17","3,00","0,00","6,66","147,00","2 947,00",Vigo,Left
Calum Chambers,"D (RC), DM",ENG,"183,00","31,00","39,00","0,83","0,00","0,11","0,00","0,00","2,00","0,00","0,00","0,00","27,53","498,00","30,52","552,00","2,00","2,00","8,00","0,28","5,00","63,00","0,50","9,00","0,80","2,82","51,00","1,00","44 722,00",191.6,"3,00","0,18","16,00","0,00","0,00","0,06","3,54",17 (9),"0,00","1,00","0,14","0,00","0,90","2,16","0,06","0,00","1,00","0,00","6,68","64,00","1 628,00",Vigo,Right
Dani Morer,"D/WB (R), M (RC), AM (R)",COL,"169,00","28,00","57,00","0,74","0,00","0,27","0,00","0,00","6,00","0,00","0,00","0,00","30,57","681,00","34,65","772,00","2,00","1,00","12,00","0,94","21,00","13,00","1,30","29,00","0,35","0,72","16,00","3,00","44 693,00",279.3,"21,00","0,18","113,00","0,00","0,00","0,13","2,06",23 (8),"0,00","3,00","0,62","0,00","0,88","2,56","0,13","0,00","3,00","0,00","6,62","46,00","2 005,00",Vigo,Right Only
Juanlu,"D/WB (R), M (RC), AM (R)",ESP,"185,00","22,00","6,00","0,86","0,00","1,35","0,00","0,00","3,00","0,00","0,00","0,00","30,15","67,00","33,75","75,00","0,00","0,00","0,00","0,00","0,00","4,00","0,45","1,00","1,00","1,80","4,00","0,00","44 634,00","44 804,00","1,00","0,14","7,00","1,00","0,45","0,00","1,80",1 (7),"0,00","0,00","0,26","0,00","0,89","2,70","0,00","0,00","1,00","0,00","6,35","4,00","200,00",Vigo,Right
Damián Rodríguez,"D (C), DM, M (C)",ESP,"180,00","23,00","9,00","0,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29,07","115,00","31,10","123,00","0,00","0,00","0,00","0,51","2,00","5,00","0,25","1,00","0,50","1,77","7,00","0,00",12.0,47.5,"0,00","0,00","0,00","0,00","0,00","0,00","3,54",2 (10),"0,00","0,00","0,00","0,00","0,93","2,28","0,00","0,00","0,00","0,00","6,56","14,00","356,00",Vigo,Left
Álex Centelles,D/WB (L),ESP,"185,00","26,00","131,00","0,77","0,00","0,40","0,18","5,00","11,00","0,00","0,00","0,00","25,17","694,00","28,57","788,00","2,00","0,00","30,00","0,98","27,00","42,00","1,99","55,00","0,67","2,39","66,00","10,00","44 693,00",344.4,"18,00","0,17","105,00","1,00","0,04","0,07","3,55","28,00","2,00","2,00","0,90","1,00","0,88","4,75","0,36","0,45","2,00","0,00","6,77","98,00","2 482,00",Vigo,Left
Santiago Arias,"D (RL), WB (R)",COL,"178,00","34,00","100,00","0,75","0,00","0,35","0,12","3,00","9,00","0,00","0,00","0,00","29,07","741,00","33,23","847,00","5,00","0,00","27,00","0,75","19,00","16,00","1,14","29,00","0,43","1,18","30,00","1,00","44 632,00",312.9,"5,00","0,06","75,00","2,00","0,08","0,08","2,75",26 (2),"1,00","2,00","1,02","1,00","0,87","3,92","0,04","0,33","7,00","0,00","6,57","70,00","2 294,00",Vigo,Right
Pepelu,"DM, M (C)",ESP,"185,00","27,00","69,00","0,76","0,00","0,52","0,37","7,00","10,00","0,00","0,00","0,00","47,09","901,00","51,22","980,00","0,00","1,00","4,00","0,63","12,00","30,00","1,15","22,00","0,75","2,04","39,00","1,00","44 693,00",238.5,"6,00","0,40","15,00","2,00","0,10","0,05","2,72",20 (9),"1,00","1,00","1,34","1,00","0,92","3,61","0,05","0,70","2,00","1,00","6,83","52,00","1 722,00",Vigo,Right
Fran Beltrán,"DM, M/AM (C)",ESP,"170,00","27,00","180,00","0,79","0,00","0,24","0,12","4,00","8,00","0,00","0,00","0,00","53,65","1 764,00","60,31","1 983,00","0,00","0,00","15,00","0,94","31,00","9,00","1,25","41,00","0,41","0,64","21,00","2,00","44 754,00",416.3,"10,00","0,21","46,00","1,00","0,03","0,15","1,55","34,00","0,00","5,00","0,55","0,00","0,89","5,47","0,06","0,50","7,00","1,00","6,75","51,00","2 959,00",Vigo,Right
Brais Méndez,M/AM (RC),ESP,"187,00","29,00","95,00","0,72","0,00","0,98","0,46","15,00","32,00","0,00","0,00","0,00","30,54","998,00","35,53","1 161,00","3,00","0,00","4,00","1,35","44,00","15,00","1,44","47,00","0,42","1,29","42,00","6,00",14.0,458.4,"18,00","0,18","100,00","7,00","0,21","0,18","3,03",34 (1),"4,00","6,00","4,37","2,00","0,86","2,91","0,18","0,47","1,00","0,00","6,82","99,00","2 941,00",Vigo,Left
Lee Farrell,M/AM (C),SCO,"177,00","19,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Vigo,Right
Oussama Idrissi,M/AM (RL),MAR,"183,00","30,00","43,00","0,88","0,00","2,14","0,92","12,00","28,00","0,00","0,00","0,00","22,35","292,00","28,78","376,00","4,00","0,00","2,00","1,61","21,00","6,00","1,38","18,00","0,58","1,91","25,00","12,00","44 725,00",177.8,"6,00","0,15","40,00","1,00","0,08","0,15","3,29",13 (9),"2,00","2,00","5,37","1,00","0,78","3,29","0,92","0,43","1,00","0,00","6,63","43,00","1 176,00",Vigo,Right
Matteo Politano,"M (R), AM (RLC), ST (C)",ITA,"171,00","32,00","37,00","0,86","0,00","1,38","0,51","11,00","30,00","0,00","0,00","0,00","31,91","692,00","39,05","847,00","8,00","0,00","0,00","2,35","51,00","0,00","1,84","40,00","0,27","0,92","20,00","4,00","44 816,00",278.8,"31,00","0,15","195,00","9,00","0,41","0,05","3,46",22 (2),"5,00","1,00","4,43","0,00","0,82","1,71","0,18","0,37","0,00","0,00","6,85","75,00","1 952,00",Vigo,Left
Moi Gómez,M/AM (LC),ESP,"176,00","31,00","3,00","1,00","0,00","0,99","0,99","1,00","1,00","0,00","0,00","0,00","23,74","24,00","33,63","34,00","0,00","0,00","1,00","1,98","2,00","0,00","1,98","2,00","0,00","0,00","0,00","0,00","44 665,00","44 726,00","0,00","0,00","1,00","0,00","0,00","0,00","0,99",1 (2),"0,00","0,00","0,03","0,00","0,71","2,97","0,00","1,00","0,00","0,00","6,55","1,00","91,00",Vigo,Right
Álex Baena,"M (C), AM (RLC), ST (C)",ESP,"174,00","24,00","27,00","0,82","0,00","0,90","0,54","3,00","5,00","0,00","0,00","0,00","24,71","137,00","30,48","169,00","1,00","0,00","3,00","0,90","5,00","0,00","0,90","5,00","0,25","0,54","3,00","4,00","44 633,00",74.0,"1,00","0,10","10,00","1,00","0,18","0,00","2,16",6 (7),"0,00","0,00","0,32","0,00","0,81","4,87","0,72","0,60","2,00","0,00","6,49","12,00","499,00",Vigo,Either
Gökdeniz Bayrakdar,"M (R), AM (RL), ST (C)",TUR,"181,00","24,00","52,00","0,81","0,00","2,76","1,52","37,00","67,00","0,00","0,00","0,00","20,77","504,00","25,51","619,00","16,00","0,00","2,00","0,82","20,00","17,00","1,57","38,00","0,36","2,55","62,00","16,00","44 693,00",303.7,"10,00","0,21","46,00","1,00","0,04","0,00","7,05",24 (7),"9,00","0,00","8,69","2,00","0,81","2,14","0,66","0,55","0,00","0,00","6,83","171,00","2 184,00",Vigo,Left
Martín Tejón,M/AM (RLC),ESP,"175,00","22,00","31,00","0,69","0,00","0,51","0,21","2,00","5,00","0,00","0,00","0,00","39,60","385,00","44,02","428,00","1,00","0,00","1,00","0,82","8,00","9,00","1,65","16,00","0,68","1,34","13,00","2,00",13.0,126.7,"1,00","0,11","9,00","1,00","0,10","0,00","1,95",11 (1),"0,00","0,00","0,34","0,00","0,90","3,19","0,21","0,40","0,00","0,00","6,65","19,00","875,00",Vigo,Right
Ilias Akhomach,"M (RC), AM (RLC), ST (C)",ESP,"175,00","22,00","7,00","0,70","0,00","0,49","0,00","0,00","2,00","0,00","0,00","0,00","26,90","110,00","34,24","140,00","1,00","0,00","0,00","1,47","6,00","1,00","2,20","9,00","0,41","1,71","7,00","3,00","44 694,00",55.1,"1,00","0,07","13,00","0,00","0,00","0,00","4,16",3 (7),"0,00","0,00","0,24","0,00","0,79","1,71","0,73","0,00","1,00","0,00","6,49","17,00","368,00",Vigo,Left Only
Alejandro Guerrero,"M (LC), AM (C)",COL,"192,00","20,00","17,00","0,85","0,00","0,93","0,27","2,00","7,00","0,00","0,00","0,00","28,45","214,00","33,77","254,00","1,00","0,00","1,00","0,66","5,00","12,00","1,06","8,00","0,48","3,59","27,00","2,00","44 695,00",108.9,"0,00","0,00","6,00","1,00","0,13","0,13","7,44",6 (10),"0,00","1,00","0,44","0,00","0,84","2,26","0,27","0,29","1,00","0,00","6,60","56,00","677,00",Vigo,Either
Lorenzo Colombo,"AM (R), ST (C)",ITA,"184,00","24,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00","10,00","0,00","13,00","2,00","0,00","0,00","0,00","4,00","1,00","0,00","0,00","0,67","0,00","2,00","0,00","0,00","44 630,00","0,00","0,00","2,00","0,00","0,00","0,00","0,00",0 (5),"0,00","1,00","0,12","0,00","0,77","0,00","0,00","0,00","0,00","0,00","7,30","3,00","65,00",Vigo,Left
Santi Mina,"AM (RL), ST (C)",ESP,"181,00","30,00","30,00","0,71","0,00","1,49","0,91","28,00","46,00","0,00","0,00","0,00","17,54","542,00","19,90","615,00","8,00","0,00","3,00","0,71","22,00","23,00","0,58","18,00","0,31","1,97","61,00","11,00","44 603,00",347.2,"4,00","0,13","30,00","1,00","0,03","0,06","6,38",33 (2),"8,00","2,00","7,91","2,00","0,88","0,97","0,36","0,61","0,00","0,00","6,65","197,00","2 781,00",Vigo,Right
Fran López,ST (C),ESP,"178,00","24,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Vigo,Right
David Raya,GK,ESP,"183,00","30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20,00","35,00","75,00","7,53","286,00","17,82","677,00","0,00","0,00","0,00","0,08","3,00","0,00","0,13","5,00","0,00","0,00","0,00","0,00","44 717,00",214.0,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","38,00","0,00","1,00","0,00","0,00","0,42","0,00","0,00","0,00","0,00","0,00","6,88","0,00","3 420,00",Real Hispalis,Right
Dragan Rosić,GK,SRB,"189,00","29,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Real Hispalis,Left Only
Juan Soriano,GK,ESP,"185,00","28,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Real Hispalis,Left
Anel Ahmedhodžić,D (C),BIH,"195,00","27,00","22,00","0,92","0,00","0,69","0,38","5,00","9,00","0,00","0,00","0,00","20,27","266,00","23,01","302,00","0,00","0,00","5,00","0,08","1,00","32,00","0,53","7,00","0,53","1,83","24,00","0,00","44 690,00",125.0,"0,00","0,00","0,00","0,00","0,00","0,00","3,43",13 (3),"0,00","0,00","0,57","0,00","0,88","1,68","0,00","0,56","4,00","0,00","6,69","45,00","1 181,00",Real Hispalis,Right
Dan0Axel Zagadou,D (LC),FRA,"196,00","27,00","50,00","0,85","0,00","0,94","0,27","9,00","31,00","0,00","0,00","0,00","24,61","812,00","26,39","871,00","1,00","1,00","11,00","0,12","4,00","108,00","1,55","51,00","0,75","3,42","113,00","0,00","44 782,00",324.6,"0,00","0,00","5,00","0,00","0,00","0,00","4,55","33,00","3,00","0,00","2,09","1,00","0,93","1,52","0,00","0,29","8,00","0,00","6,96","150,00","2 970,00",Real Hispalis,Left
Guido Rodríguez,"D (C), DM, M (C)",ARG,"185,00","32,00","89,00","0,66","0,00","0,29","0,14","4,00","8,00","0,00","0,00","0,00","43,73","1 209,00","47,60","1 316,00","3,00","0,00","12,00","0,83","23,00","8,00","0,90","25,00","0,32","0,51","14,00","2,00","44 632,00",338.7,"5,00","0,17","29,00","0,00","0,00","0,04","1,59",28 (5),"0,00","1,00","0,82","0,00","0,92","3,22","0,07","0,50","5,00","0,00","6,70","44,00","2 488,00",Real Hispalis,Right
Bosko Sutalo,"D (RC), WB (R)",CRO,"188,00","26,00","64,00","0,80","0,00","0,50","0,17","3,00","9,00","0,00","0,00","0,00","26,31","473,00","29,43","529,00","4,00","0,00","13,00","0,83","15,00","47,00","1,11","20,00","0,83","3,23","58,00","0,00","44 784,00",212.5,"14,00","0,17","81,00","1,00","0,06","0,00","3,89",18 (8),"0,00","0,00","0,77","0,00","0,89","3,56","0,00","0,33","5,00","0,00","6,82","70,00","1 618,00",Real Hispalis,Right
Mouctar Diakhaby,"D (C), DM",FRA,"192,00","29,00","50,00","0,74","0,00","0,66","0,27","9,00","22,00","0,00","0,00","0,00","18,12","602,00","24,41","811,00","1,00","3,00","13,00","0,18","6,00","145,00","0,93","31,00","0,72","3,40","113,00","0,00","44 751,00",322.7,"2,00","0,25","8,00","1,00","0,03","0,03","4,76","34,00","1,00","1,00","1,46","2,00","0,74","1,51","0,00","0,41","6,00","0,00","6,86","158,00","2 990,00",Real Hispalis,Right
Álex Grimaldo,D/WB/M (L),ESP,"171,00","30,00","117,00","0,73","0,00","0,24","0,15","5,00","8,00","0,00","0,00","0,00","28,74","955,00","31,78","1 056,00","11,00","1,00","29,00","0,87","29,00","9,00","1,81","60,00","0,43","1,23","41,00","9,00","44 573,00",401.2,"27,00","0,13","195,00","0,00","0,00","0,12","2,86","34,00","0,00","4,00","0,89","1,00","0,90","3,52","0,27","0,63","12,00","0,00","6,79","95,00","2 991,00",Real Hispalis,Left
Luis Orejuela,D/WB (RL),COL,"180,00","30,00","80,00","0,73","0,00","0,24","0,00","0,00","5,00","0,00","0,00","0,00","26,99","559,00","30,03","622,00","6,00","0,00","12,00","1,16","24,00","19,00","1,79","37,00","0,57","1,83","38,00","8,00","44 663,00",255.8,"25,00","0,18","132,00","4,00","0,19","0,10","3,23",21 (4),"0,00","2,00","0,33","0,00","0,90","3,86","0,39","0,00","5,00","0,00","6,75","67,00","1 864,00",Real Hispalis,Right
Joan Jordán,"DM, M (C)",ESP,"184,00","31,00","63,00","0,78","0,00","0,64","0,25","5,00","13,00","0,00","0,00","0,00","40,32","822,00","44,44","906,00","1,00","0,00","7,00","0,59","12,00","10,00","0,64","13,00","0,46","0,83","17,00","0,00","44 754,00",258.1,"5,00","0,27","18,00","1,00","0,05","0,05","1,81",21 (11),"2,00","1,00","1,03","0,00","0,91","3,09","0,00","0,38","7,00","0,00","6,69","37,00","1 835,00",Real Hispalis,Right
Franco Cervi,WB/M/AM (L),ARG,"167,00","32,00","5,00","1,00","0,00","0,72","0,36","1,00","2,00","0,00","0,00","0,00","21,24","59,00","25,92","72,00","3,00","0,00","0,00","1,80","5,00","0,00","1,08","3,00","0,50","1,44","4,00","0,00","44 786,00",38.2,"0,00","0,00","15,00","0,00","0,00","0,00","2,88",1 (9),"0,00","0,00","0,09","0,00","0,82","1,80","0,00","0,50","1,00","0,00","6,55","8,00","250,00",Real Hispalis,Left Only
Riccardo Sottil,"WB (R), M/AM (RL)",ITA,"180,00","27,00","4,00","0,57","0,00","2,94","1,68","4,00","7,00","0,00","0,00","0,00","29,86","71,00","31,96","76,00","0,00","0,00","0,00","2,52","6,00","0,00","2,94","7,00","0,38","1,26","3,00","1,00","44 786,00",32.7,"1,00","0,12","8,00","0,00","0,00","0,42","3,36",1 (5),"1,00","1,00","1,02","1,00","0,93","1,68","0,42","0,57","0,00","0,00","6,97","8,00","214,00",Real Hispalis,Right
Svetoslav Kalchev,"M/AM (R), ST (C)",BUL,"173,00","20,00","91,00","0,76","0,00","1,97","1,06","29,00","54,00","0,00","0,00","0,00","25,91","709,00","31,46","861,00","4,00","0,00","5,00","1,68","46,00","3,00","2,38","65,00","0,32","1,24","34,00","17,00",13.0,356.8,"12,00","0,16","72,00","1,00","0,04","0,11","3,87",31 (1),"12,00","3,00","7,02","3,00","0,82","3,33","0,62","0,54","5,00","0,00","6,81","106,00","2 463,00",Real Hispalis,Left
Kiril Despodov,"M/AM (RL), ST (C)",BUL,"179,00","29,00","93,00","0,82","0,00","2,48","1,07","29,00","67,00","0,00","0,00","0,00","26,50","715,00","31,95","862,00","4,00","1,00","6,00","1,41","38,00","5,00","1,71","46,00","0,37","1,63","44,00","17,00","44 605,00",355.2,"11,00","0,13","83,00","2,00","0,07","0,22","4,37",31 (1),"9,00","6,00","6,45","3,00","0,83","3,45","0,63","0,43","2,00","0,00","6,76","118,00","2 428,00",Real Hispalis,Right
Dominik Yankov,"M/AM (LC), ST (C)",BUL,"180,00","25,00","50,00","0,74","0,00","1,27","0,42","7,00","21,00","0,00","0,00","0,00","32,81","541,00","37,30","615,00","0,00","0,00","4,00","0,91","15,00","3,00","1,33","22,00","0,29","0,61","10,00","1,00","44 694,00",222.7,"6,00","0,20","29,00","1,00","0,06","0,12","2,12",12 (18),"1,00","2,00","2,05","0,00","0,88","3,03","0,06","0,33","2,00","0,00","6,70","35,00","1 484,00",Real Hispalis,Right
Nabil Fekir,"M (C), AM (RLC), ST (C)",FRA,"173,00","32,00","91,00","0,75","0,00","1,53","0,59","22,00","57,00","0,00","0,00","0,00","35,91","1 338,00","43,67","1 627,00","4,00","2,00","2,00","3,92","146,00","2,00","1,53","57,00","0,29","0,72","27,00","15,00","44 575,00",527.0,"100,00","0,23","430,00","4,00","0,11","0,27","2,52","38,00","5,00","10,00","5,18","4,00","0,82","2,44","0,40","0,39","1,00","0,00","7,09","94,00","3 353,00",Real Hispalis,Left Only
Ademola Looan,"M/AM (L), ST (C)",NGA,"174,00","28,00","25,00","0,86","0,00","2,81","1,05","9,00","24,00","0,00","0,00","0,00","26,30","225,00","29,69","254,00","2,00","0,00","0,00","1,75","15,00","1,00","2,22","19,00","0,15","0,58","5,00","9,00","44 606,00",121.9,"3,00","0,13","23,00","2,00","0,23","0,35","3,97",6 (19),"2,00","3,00","2,62","0,00","0,89","2,92","1,05","0,38","0,00","0,00","6,76","34,00","770,00",Real Hispalis,Right
Christopher Nkunku,"M (RLC), AM (RC)",FRA,"175,00","28,00","76,00","0,78","0,00","0,91","0,32","6,00","17,00","0,00","0,00","0,00","42,84","803,00","47,96","899,00","2,00","0,00","7,00","1,28","24,00","6,00","1,07","20,00","0,36","0,75","14,00","7,00","44 816,00",241.3,"9,00","0,27","33,00","3,00","0,16","0,16","2,08",19 (6),"0,00","3,00","1,44","0,00","0,89","4,05","0,37","0,35","2,00","0,00","6,78","39,00","1 687,00",Real Hispalis,Right
Arkadiusz Milik,"AM (C), ST (C)",POL,"186,00","32,00","4,00","0,80","0,00","2,85","1,71","9,00","15,00","0,00","0,00","0,00","18,23","96,00","20,70","109,00","7,00","0,00","0,00","0,95","5,00","2,00","0,57","3,00","0,12","0,76","4,00","1,00","44 663,00",65.2,"0,00","0,00","0,00","1,00","0,19","0,00","6,46",2 (14),"7,00","0,00","3,34","3,00","0,88","0,76","0,19","0,60","0,00","0,00","6,94","34,00","474,00",Real Hispalis,Left
Brian Brobbey,"AM (L), ST (C)",NED,"180,00","24,00","13,00","0,65","0,00","1,81","0,89","28,00","57,00","0,00","0,00","0,00","16,80","528,00","19,60","616,00","11,00","0,00","0,00","0,99","31,00","20,00","0,57","18,00","0,29","1,97","62,00","6,00","44 603,00",352.8,"2,00","0,16","12,00","2,00","0,06","0,03","6,74",35 (1),"10,00","1,00","9,84","2,00","0,86","0,41","0,19","0,49","0,00","0,00","6,71","212,00","2 829,00",Real Hispalis,Right
Marc André ter Stegen,GK,GER,"187,00","34,00","2,00","0,40","0,00","0,00","0,00","0,00","0,00","18,00","27,00","36,00","18,49","684,00","21,84","808,00","0,00","2,00","0,00","0,03","1,00","0,00","0,22","8,00","0,00","0,00","0,00","0,00","44 567,00",226.3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","37,00","0,00","0,00","0,00","0,00","0,85","0,05","0,00","0,00","0,00","0,00","7,07","0,00","3 330,00",Barcelona,Either
Iñaki Peña,GK,ESP,"184,00","27,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","3,00","20,00","20,00","27,00","27,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00","0,00","0,00","0,00","0,00","44 718,00","44 718,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,74","0,00","0,00","0,00","0,00","0,00","6,70","0,00","90,00",Barcelona,Right
Fikayo Tomori,D (RC),ENG,"185,00","28,00","27,00","0,82","0,00","0,79","0,36","10,00","22,00","0,00","0,00","0,00","42,00","1 164,00","44,28","1 227,00","5,00","1,00","6,00","0,47","13,00","53,00","2,49","69,00","0,65","2,85","79,00","0,00","44 783,00",299.1,"8,00","0,17","46,00","1,00","0,04","0,04","4,37",27 (3),"1,00","1,00","1,50","0,00","0,95","0,97","0,00","0,45","5,00","0,00","7,21","121,00","2 494,00",Barcelona,Right
Eric García,D (C),ESP,"182,00","25,00","36,00","0,71","0,00","0,47","0,14","4,00","13,00","0,00","0,00","0,00","39,89","1 108,00","41,76","1 160,00","0,00","1,00","20,00","0,04","1,00","48,00","1,87","52,00","0,56","2,23","62,00","0,00","44 602,00",282.1,"0,00","0,00","2,00","0,00","0,00","0,00","3,96","28,00","1,00","0,00","1,38","0,00","0,96","1,30","0,00","0,31","6,00","0,00","7,05","110,00","2 500,00",Barcelona,Right
Pedro Porro,D/WB/M/AM (R),ESP,"176,00","26,00","39,00","0,91","0,00","0,81","0,30","6,00","16,00","0,00","0,00","0,00","32,14","637,00","35,67","707,00","15,00","0,00","13,00","2,22","44,00","5,00","1,92","38,00","0,40","0,81","16,00","15,00","44 755,00",272.3,"35,00","0,14","235,00","5,00","0,25","0,30","2,02",20 (1),"0,00","6,00","1,17","1,00","0,90","1,97","0,76","0,38","4,00","0,00","6,99","40,00","1 784,00",Barcelona,Right
Santi Ramos Mingo,"D (C), DM",ARG,"187,00","24,00","27,00","0,82","0,00","1,14","0,38","9,00","27,00","0,00","0,00","0,00","41,43","982,00","43,08","1 021,00","2,00","0,00","7,00","0,08","2,00","38,00","1,56","37,00","0,67","3,46","82,00","0,00","44 661,00",245.5,"0,00","0,00","1,00","0,00","0,00","0,00","5,15",23 (3),"3,00","0,00","2,18","1,00","0,96","1,14","0,00","0,33","6,00","0,00","7,32","122,00","2 133,00",Barcelona,Left
